cik,display_name,first_file_date,last_file_date,total_hits,forms_touched,in_phrase_query,in_token_query,in_deferred_csv,signal_class
0000945394,HOSPITALITY PROPERTIES TRUST  (SVC)  (CIK 0000945394),2015-06-08,2015-06-08,1,8-K,true,false,false,body-only
0001001085,"BROOKFIELD ASSET MANAGEMENT INC.  (BN, BNH, BNJ, BAMGF, BAMKF, BKAMF, BKFAF, BKFDF, BKFOF, BKFPF, BRCFF, BROXF, BRPSF, BXDIF)  (CIK 0001001085)",2019-03-19,2019-03-19,1,6-K,true,false,false,body-only
0001001871,INVESTORS CAPITAL HOLDINGS LTD  (CIK 0001001871),2014-05-15,2014-05-15,1,DEFM14A,true,false,false,body-only
0001003642,IMPAX LABORATORIES INC  (CIK 0001003642),2017-10-17,2018-05-07,6,8-K;DEFM14A,true,false,false,both
0001004980,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980); PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",2019-11-18,2020-06-08,7,8-K,true,false,false,exhibit-only
0001005011,"GRAPHIC PACKAGING HOLDING CO  (GPK)  (CIK 0001408075); GRAPHIC PACKAGING INTERNATIONAL, LLC  (CIK 0001005011)",2018-01-02,2021-05-20,5,8-K,true,false,false,body-only
0001008654,TUPPERWARE BRANDS CORP  (TUPBQ)  (CIK 0001008654),2024-11-29,2024-11-29,1,8-K,true,false,false,body-only
0001023291,Energy Future Holdings Corp /TX/  (CIK 0001023291),2015-08-10,2016-12-30,22,10-K;10-Q;8-K;8-K/A,true,false,false,body-only
0001032208,"SEMPRA ENERGY  (SRE, SREA)  (CIK 0001032208)",2017-08-25,2018-05-03,3,8-K;8-K/A,true,false,false,both
0001037976,JONES LANG LASALLE INC  (JLL)  (CIK 0001037976),2019-06-20,2019-06-20,1,8-K,true,false,false,body-only
0001038357,PIONEER NATURAL RESOURCES CO  (CIK 0001038357),2020-10-21,2023-04-13,5,8-K;DEF 14A,true,false,false,both
0001040829,"Ryman Hospitality Properties, Inc.  (RHP)  (CIK 0001040829)",2022-04-05,2024-07-01,3,8-K,true,false,false,exhibit-only
0001041061,YUM BRANDS INC  (YUM)  (CIK 0001041061),2020-02-20,2021-02-22,5,10-K;10-Q,true,false,false,body-only
0001047166,UNITED RENTALS INC /DE  (URI)  (CIK 0001067701); UNITED RENTALS NORTH AMERICA INC  (CIK 0001047166),2017-08-17,2017-08-17,1,8-K,true,false,false,body-only
0001050377,PC CONNECTION INC  (CNXN)  (CIK 0001050377),2020-04-29,2025-07-30,8,10-K;10-Q;DEF 14A,true,false,false,body-only
0001060749,"KNIGHT CAPITAL GROUP, INC.  (CIK 0001060749)",2012-12-24,2013-05-28,3,8-K;DEFM14A,true,false,false,body-only
0001061507,GRAHAM PACKAGING HOLDINGS CO  (CIK 0001061507),2010-03-10,2011-08-12,12,10-K;10-K/A;10-Q;8-K,true,false,false,both
0001067701,UNITED RENTALS INC /DE  (URI)  (CIK 0001067701); UNITED RENTALS NORTH AMERICA INC  (CIK 0001047166),2017-08-17,2017-08-17,1,8-K,true,false,false,body-only
0001075124,THOMSON REUTERS CORP /CAN/  (TRI)  (CIK 0001075124),2018-10-10,2018-10-10,1,6-K,true,false,false,body-only
0001075415,"SENIOR HOUSING PROPERTIES TRUST  (DHC, DHCNI, DHCNL)  (CIK 0001075415)",2015-06-08,2015-06-08,1,8-K,true,false,false,body-only
0001081316,BERKSHIRE HATHAWAY ENERGY CO  (CIK 0001081316),2017-07-07,2017-07-07,1,8-K,true,false,false,body-only
0001089473,INVENTIV HEALTH INC  (CIK 0001089473),2016-04-06,2016-04-06,1,8-K,true,false,false,body-only
0001091667,"CHARTER COMMUNICATIONS, INC. /MO/  (CHTR)  (CIK 0001091667); CCO HOLDINGS CAPITAL CORP  (CIK 0001271834); CCO HOLDINGS LLC  (CIK 0001271833)",2015-03-31,2026-03-12,51,10-K;10-Q;8-K;8-K/A;DEF 14A;DEFA14A;DEFM14A;PRE 14A,true,false,false,both
0001094831,ESPEED INC  (BGC)  (CIK 0001094831),2007-05-30,2024-08-02,52,10-K;10-K/A;10-Q;8-K;DEF 14A;DEFA14A;DEFM14A;PRE 14A,true,false,false,both
0001095651,ISTAR INC.  (SAFE)  (CIK 0001095651),2023-04-04,2023-04-04,1,8-K,true,false,false,exhibit-only
0001099219,"METLIFE INC  (MET, MET-PA, MET-PE, MET-PF)  (CIK 0001099219)",2017-06-29,2018-11-08,7,10-K;10-Q;8-K,true,false,false,body-only
0001101215,ALLIANCE DATA SYSTEMS CORP  (BFH)  (CIK 0001101215),2021-11-08,2021-11-08,1,8-K,true,false,false,body-only
0001116132,COACH INC  (TPR)  (CIK 0001116132),2013-11-06,2013-11-06,1,10-Q,true,false,false,both
0001123360,GLOBAL PAYMENTS INC  (GPN)  (CIK 0001123360),2022-08-02,2026-03-05,14,10-K;10-Q;8-K,true,false,false,both
0001124198,FLUOR CORP  (FLR)  (CIK 0001124198),2021-12-16,2026-02-17,3,10-K;10-Q;8-K,true,false,false,body-only
0001127342,GMX RESOURCES INC  (CIK 0001127342),2014-01-13,2014-01-13,1,8-K,true,false,false,body-only
0001136893,"Fidelity National Information Services, Inc.  (FIS)  (CIK 0001136893)",2019-04-30,2024-02-26,27,10-K;10-Q;8-K,true,false,false,both
0001144326,APPLETON PAPERS INC/WI  (CIK 0001144326); PAPERWEIGHT DEVELOPMENT CORP  (CIK 0001166365),2012-05-16,2012-06-25,3,8-K,true,false,false,body-only
0001157377,ADVISORY BOARD CO  (CIK 0001157377),2015-08-07,2017-11-08,13,10-K;10-Q;8-K;DEFA14A;DEFM14A,true,false,false,both
0001157806,ENCANA CORP  (CIK 0001157806),2014-09-30,2015-01-23,2,6-K,true,false,false,body-only
0001158463,JETBLUE AIRWAYS CORP  (JBLU)  (CIK 0001158463),2022-07-28,2022-08-16,2,8-K;8-K/A,true,false,false,body-only
0001166365,APPLETON PAPERS INC/WI  (CIK 0001144326); PAPERWEIGHT DEVELOPMENT CORP  (CIK 0001166365),2012-05-16,2012-06-25,3,8-K,true,false,false,body-only
0001166691,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",2016-10-26,2019-04-26,13,10-K;10-Q;8-K;DEF 14A,true,false,true,body-only
0001167609,BRIGHTHOUSE LIFE INSURANCE Co OF NY  (CIK 0001167609),2017-11-14,2022-03-03,6,10-K;10-Q,true,false,false,body-only
0001168696,REGAL ENTERTAINMENT GROUP  (CIK 0001168696),2007-05-08,2018-03-22,36,10-K;10-K/A;10-Q;DEF 14A,true,false,false,body-only
0001172222,HAWAIIAN HOLDINGS INC  (HA)  (CIK 0001172222),2023-12-04,2024-01-09,3,8-K;DEFA14A;DEFM14A,true,false,false,body-only
0001176948,"Ares Management Corp  (ARES, ARES-PB)  (CIK 0001176948)",2014-05-07,2026-05-08,79,10-K;10-Q;8-K;DEF 14A,true,false,false,both
0001178879,"AMICUS THERAPEUTICS, INC.  (FOLD)  (CIK 0001178879)",2021-09-29,2021-11-09,3,10-Q;8-K;DEFA14A,true,false,false,both
0001210677,FIRST ADVANTAGE CORP  (FA)  (CIK 0001210677),2021-08-12,2022-03-23,2,10-K;10-Q,true,false,false,both
0001236275,"SilverSun Technologies, Inc.  (QXO)  (CIK 0001236275)",2022-10-03,2022-10-03,1,8-K,true,false,false,exhibit-only
0001267813,"MARINUS PHARMACEUTICALS, INC.  (MRNS)  (CIK 0001267813)",2024-12-30,2024-12-30,1,8-K,true,false,false,exhibit-only
0001271833,"CHARTER COMMUNICATIONS, INC. /MO/  (CHTR)  (CIK 0001091667); CCO HOLDINGS CAPITAL CORP  (CIK 0001271834); CCO HOLDINGS LLC  (CIK 0001271833)",2016-07-29,2026-01-30,27,10-K;10-Q;8-K;8-K/A;DEFA14A,true,false,false,both
